datetime,WIKI/AAPL,WIKI/GOOG,WIKI/MSFT,cash,commission,total,returns,equity_curve,drawdown
2017-02-09,13242.0,80956.0,6406.0,3997.0,0.0,104601.0,0.00218447299589,1.04601,0.01519
2017-02-10,13212.0,81367.0,6400.0,3997.0,0.0,104976.0,0.00358505176815,1.04976,0.01144
2017-02-13,13329.0,81924.0,6472.0,3997.0,0.0,105722.0,0.00710638622161,1.05722,0.00398
2017-02-14,13502.0,82045.0,6457.0,3997.0,0.0,106001.0,0.00263899661376,1.06001,0.00119
2017-02-15,13551.0,81898.0,6453.0,3997.0,0.0,105899.0,-0.000962255073065,1.05899,0.00221
2017-02-16,13534.5,82416.0,6452.0,3997.0,0.0,106399.5,0.00472620138056,1.063995,0.0
2017-02-17,13572.0,82807.0,6462.0,3997.0,0.0,106838.0,0.00412125996833,1.06838,0.0
2017-02-21,13670.0,83166.0,6449.0,3997.0,0.0,107282.0,0.00415582470657,1.07282,0.0
2017-02-22,13711.0,83076.0,6436.0,3997.0,0.0,107220.0,-0.000577916146231,1.0722,0.00062
2017-02-23,13653.0,83133.0,6462.0,3997.0,0.0,107245.0,0.000233165454206,1.07245,0.00037
2017-02-24,13666.0,82864.0,6462.0,3997.0,0.0,106989.0,-0.00238705767169,1.06989,0.00293
2017-02-27,13693.0,82928.0,6423.0,3997.0,0.0,107041.0,0.000486031274243,1.07041,0.00241
2017-02-28,13699.0,82321.0,6398.0,3997.0,0.0,106415.0,-0.00584822638055,1.06415,0.00867
2017-03-01,13979.0,83524.0,6494.0,3997.0,0.0,107994.0,0.0148381337217,1.07994,0.0
2017-03-02,13896.0,83063.0,6401.0,3997.0,0.0,107357.0,-0.00589847584125,1.07357,0.00637
2017-03-03,13978.0,82908.0,6425.0,3997.0,0.0,107308.0,-0.000456421099695,1.07308,0.00686
2017-03-06,13934.0,82778.0,6427.0,3997.0,0.0,107136.0,-0.00160286278749,1.07136,0.00858
2017-03-07,13952.0,83191.0,6440.0,3997.0,0.0,107580.0,0.00414426523297,1.0758,0.00414
2017-03-08,13900.0,83537.0,6499.0,3997.0,0.0,107933.0,0.00328127904815,1.07933,0.00061
2017-03-09,13868.0,83868.0,6473.0,3997.0,0.0,108206.0,0.00252934690966,1.08206,0.0
2017-03-10,13914.0,84325.0,6493.0,3997.0,0.0,108729.0,0.0048333733804,1.08729,0.0
2017-03-13,13920.0,84554.0,6471.0,3997.0,0.0,108942.0,0.00195899897911,1.08942,0.0
